UNIQ_ID,FCODE_TYPE,SETL_CODE,SETL_NAME,NAME,LATIN_NAME,USG_GROUP,USG_CODE,E_ORD,N_ORD,DATA_YEAR,PRDCT_VER,X,Y
54449609,252,1031,שדרות,מכון למורים צעירים תלמוד תורה,,13,5370,162260.42592700000,604335.75269400002,0,,162260.42592700000,604335.75269400002
54450170,252,1268,מיתר,קונסרבטוריון - עירוני,,13,5370,194184.54262699999,581519.45929399994,0,,194184.54262699999,581519.45929399994
54451904,252,9000,באר שבע,"מכללת - עמל ע""ש ליידי דיוויס",,13,5370,180157.68862700000,573476.62919400004,0,,180157.68862700000,573476.62919400004
54448083,252,9000,באר שבע,מכללת - רדיו דרום,,13,5370,181442.46812700000,574184.88079400000,0,,181442.46812700000,574184.88079400000
54448762,252,9000,באר שבע,מרכז הברכה סמינר מורים,"""Merkaz HaBrakha"" Teachers Seminary",13,5370,180890.21532700001,573747.09129400004,0,,180890.21532700001,573747.09129400004
54447461,252,9000,באר שבע,מכללת - קיי,,13,5370,179098.30802699999,575530.26019399997,2014,2015-07,179098.30802699999,575530.26019399997
54449176,252,9000,באר שבע,"המכללה - האקדמית להנדסה ע""ש סמי שמעון",,13,5370,179871.65242699999,573201.66269400006,2014,2015-07,179871.65242699999,573201.66269400006
54452624,252,9000,באר שבע,"המכללה - הטכנולוגית ב""ש",,13,5370,180155.70992699999,573301.26119400002,2014,2015-07,180155.70992699999,573301.26119400002
54447531,252,3000,ירושלים,היברו יוניון קולג' מכון ללימודי יהדות,,13,5370,221236.60512699999,631468.42079400003,0,,221236.60512699999,631468.42079400003
54451071,252,3000,ירושלים,מכללת - הדסה,,13,5370,221038.52522700001,632277.74869399995,0,,221038.52522700001,632277.74869399995
54450910,252,2530,באר יעקב,"סמינר באר יעקוב ע""ש שמואל ופני וולפסון",,13,5370,184613.24632700000,649457.77069399995,0,,184613.24632700000,649457.77069399995
54447589,252,8400,רחובות,מכללת - אורט רחובות,,13,5370,182055.72172700000,643377.76039399998,0,,182055.72172700000,643377.76039399998
54449303,252,3000,ירושלים,"בי""ס לעובדי הוראה בכירים",,13,5370,219327.07252700001,629572.76179400005,0,,219327.07252700001,629572.76179400005
54451373,252,6100,בני ברק,סמינר בית יעקב,Bet Ya'akov,13,5370,184247.68702700001,665264.73739400005,0,,184247.68702700001,665264.73739400005
54450747,252,7900,פתח תקווה,סמינר למורות בית יעקב,,13,5370,188726.50542700000,666263.43499400001,0,,188726.50542700000,666263.43499400001
54451852,252,9700,הוד השרון,מכללה - עמל 1,,13,5370,190566.53462699999,670951.53389399999,0,,190566.53462699999,670951.53389399999
54452356,252,5000,תל אביב -יפו,סמינר הקיבוצים,Kibbutzim College of Education,13,5370,180484.38022699999,667553.80049399997,0,,180484.38022699999,667553.80049399997
54451800,252,5000,תל אביב -יפו,מכללת - עתיד,,13,5370,179746.61092700000,662584.92209400004,0,,179746.61092700000,662584.92209400004
54447806,252,6200,בת ים,מכללת - בת ים האוניברסיטה הפתוחה,,13,5370,177351.33652700001,658834.91969400004,0,,177351.33652700001,658834.91969400004
54451744,252,3000,ירושלים,מכללת - אמונה,,13,5370,220882.23502699999,629100.03439399996,0,,220882.23502699999,629100.03439399996
54449177,252,5000,תל אביב -יפו,מכללה - אקדמית תל אביב יפו,,13,5370,177592.92102700000,661713.19459400000,0,,177592.92102700000,661713.19459400000
65106851,252,424,גבים,מכללה - ספיר,,13,5370,161540.48712700000,602057.83699400001,2014,2015-07,161540.48712700000,602057.83699400001
54446758,252,7900,פתח תקווה,"מכללה - טכנולוגית אמי""ת",,13,5370,190971.01602700001,667024.96209399996,0,,190971.01602700001,667024.96209399996
54450723,252,7900,פתח תקווה,"בי""ס אקדמאי לסיעוד",Academic  School for Nursing,13,5370,187425.83362700001,666138.71429399995,0,,187425.83362700001,666138.71429399995
54448750,252,8400,רחובות,סמינר חסידי קרעטשניף,,13,5370,183746.05342700001,644633.31239400001,0,,183746.05342700001,644633.31239400001
54446447,252,8300,ראשון לציון,המכללה - למנהל,,13,5370,178571.97082700001,653094.72969399998,0,,178571.97082700001,653094.72969399998
54452344,252,9000,באר שבע,המכללה - הטכנולוגית חיל האוויר,,13,5370,176638.14302700001,573674.41449400003,2014,2015-07,176638.14302700001,573674.41449400003
54450866,252,8300,ראשון לציון,מכללת - עמל,,13,5370,180613.85592700000,653134.43539400003,0,,180613.85592700000,653134.43539400003
54446724,252,6600,חולון,המכון האקדמי טכנולוגי חולון,Holon Institute of Technology,13,5370,178755.89142700000,657982.67179399997,0,,178755.89142700000,657982.67179399997
54447720,252,5000,תל אביב -יפו,"המכללה - למנהל קמפוס ת""א",,13,5370,180865.58022700000,671179.28259399999,0,,180865.58022700000,671179.28259399999
54451837,252,8400,רחובות,מכון טכנולוגי ויצו,WIZO Technological  Institute,13,5370,181813.57232700000,643796.77409399999,2014,2015-07,181813.57232700000,643796.77409399999
60590831,252,3000,ירושלים,מכללת - שעלבים,,13,5370,217256.02952700001,628852.38989400002,2014,2015-07,217256.02952700001,628852.38989400002
54446199,252,8600,רמת גן,הסמינר הקיבוצי רמת אפעל,,13,5370,184797.93812700000,661803.79469400004,0,,184797.93812700000,661803.79469400004
54448909,252,1034,קריית מלאכי,מעיין החינוך התורני גן הדסה,,13,5370,175647.77472700001,626888.91299400001,2014,2015-07,175647.77472700001,626888.91299400001
54446489,252,7900,פתח תקווה,מכללה - מכללת פתח תקווה,Petah Tikva College,13,5370,188066.08292700001,667462.11929399997,2014,2015-07,188066.08292700001,667462.11929399997
54447026,252,3000,ירושלים,המכללה - האקדמית להנדסה ירושלים,,13,5370,218436.34442700000,630679.43229400006,2014,2015-07,218436.34442700000,630679.43229400006
