UNIQ_ID,FCODE_TYPE,SETL_CODE,SETL_NAME,NAME,LATIN_NAME,USG_GROUP,USG_CODE,E_ORD,N_ORD,DATA_YEAR,PRDCT_VER,X,Y
54447137,252,4100,קצרין,בית ספר שדה - גולן,,13,5411,265018.42442699999,765904.13499399996,2014,2015-07,265018.42442699999,765904.13499399996
54450419,252,5000,תל אביב -יפו,בית ספר שדה - לטבע וחברה,,13,5411,178474.68642700001,661763.39699399995,0,,178474.68642700001,661763.39699399995
60590749,252,0,,בית ספר שדה - בקעת הירדן,,13,5411,237407.80442700000,664007.41149400000,2014,2015-07,237407.80442700000,664007.41149400000
60590826,252,2600,אילת,בית ספר שדה - אילת,,13,5411,191962.19762699999,380263.67649400001,0,,191962.19762699999,380263.67649400001
60590707,252,365,בית קשת,בית ספר שדה - אלון תבור,,13,5411,238147.99952700001,734601.03339400003,0,,238147.99952700001,734601.03339400003
60590675,252,4006,קשת,בית ספר שדה - קשת יונתן,,13,5411,275809.45742699999,764986.69429400004,0,,275809.45742699999,764986.69429400004
60590718,252,365,בית קשת,בית ספר שדה - גליל תחתון,,13,5411,238063.28022700001,734635.18309399998,2014,2015-07,238063.28022700001,734635.18309399998
54013082,222,5000,תל אביב -יפו,"בית ספר שדה - ת""א",,13,5411,178508.50162699999,661770.97779399995,0,,178508.50162699999,661770.97779399995
54003783,222,0,,בית ספר שדה - שקמים,,13,5411,164889.81552700000,627341.04889400001,0,,164889.81552700000,627341.04889400001
54018686,222,5000,תל אביב -יפו,בית ספר שדה - איילון,,13,5411,178509.50162699999,661770.97779399995,0,,178509.50162699999,661770.97779399995
61239360,222,427,כפר גלים,בית ספר חקלאי - כפר גלים,,13,5411,196401.54212699999,741236.05929400004,0,,196401.54212699999,741236.05929400004
