UNIQ_ID,FCODE_TYPE,SETL_CODE,SETL_NAME,NAME,LATIN_NAME,USG_GROUP,USG_CODE,E_ORD,N_ORD,DATA_YEAR,PRDCT_VER,X,Y
51584992,256,0,,חניון דרכים,,51,6830,203675.62502700000,623552.96379399998,0,,203675.62502700000,623552.96379399998
51585059,256,0,,חניון דרכים,,51,6830,196666.03422700000,650371.88239399996,0,,196666.03422700000,650371.88239399996
51590715,256,0,,חניון דרכים,,51,6830,199634.73582700000,648883.01639400003,0,,199634.73582700000,648883.01639400003
51585660,256,0,,חניון דרכים,,51,6830,193650.71102700001,622086.40489400004,0,,193650.71102700001,622086.40489400004
51587465,256,0,,חניון דרכים,,51,6830,199453.09252700000,638403.37569400005,0,,199453.09252700000,638403.37569400005
51585339,256,0,,חניון דרכים,,51,6830,204597.42122700001,628279.35749400000,0,,204597.42122700001,628279.35749400000
51589507,256,0,,חניון דרכים,,51,6830,199547.06822700001,632612.67759400001,0,,199547.06822700001,632612.67759400001
51590682,256,0,,חניון דרכים,,51,6830,205593.28702700001,635937.37479399994,0,,205593.28702700001,635937.37479399994
51585708,256,0,,חניון דרכים,,51,6830,209161.82152699999,636328.23379400000,0,,209161.82152699999,636328.23379400000
51584981,256,0,,חניון דרכים,,51,6830,186365.73492700001,627296.48549400002,0,,186365.73492700001,627296.48549400002
51590515,256,0,,חניון דרכים,,51,6830,228748.51772700000,632320.43759400002,0,,228748.51772700000,632320.43759400002
51585598,256,0,,חניון דרכים,,51,6830,200284.23932699999,632134.74969400000,0,,200284.23932699999,632134.74969400000
51589285,256,0,,חניון דרכים,,51,6830,203803.65772700001,628698.96109400003,0,,203803.65772700001,628698.96109400003
51592549,256,0,,חניון דרכים,,51,6830,197626.67562699999,635160.84069400001,0,,197626.67562699999,635160.84069400001
51585971,256,0,,חניון דרכים,,51,6830,199074.33912700001,632704.79319400003,0,,199074.33912700001,632704.79319400003
51585480,256,0,,חניון דרכים,,51,6830,198703.14182700001,631310.42059400002,0,,198703.14182700001,631310.42059400002
51592586,256,0,,חניון דרכים,,51,6830,203706.05912699999,628182.89709400001,0,,203706.05912699999,628182.89709400001
51585967,256,0,,חניון דרכים,,51,6830,205850.60232700000,635822.34399400000,0,,205850.60232700000,635822.34399400000
51584998,256,0,,חניון דרכים,,51,6830,194394.79172700000,650391.38609399996,0,,194394.79172700000,650391.38609399996
51584906,256,0,,חניון דרכים,,51,6830,204339.71612699999,624306.18889400002,0,,204339.71612699999,624306.18889400002
51590910,256,0,,חניון דרכים,,51,6830,199413.86002699999,635776.93889400002,0,,199413.86002699999,635776.93889400002
