UNIQ_ID,FCODE_TYPE,SETL_CODE,SETL_NAME,NAME,LATIN_NAME,USG_GROUP,USG_CODE,E_ORD,N_ORD,DATA_YEAR,PRDCT_VER,X,Y
53941259,222,7500,סח'נין,האקדמיה למדע ומחקר,,13,5370,229447.59912699999,751776.99439400004,0,,229447.59912699999,751776.99439400004
53941266,222,8900,טמרה,גן ילדים,Kindergarten,13,5305,218239.01242700001,750723.21019400004,0,,218239.01242700001,750723.21019400004
53941267,222,9600,קריית ים,גן ילדים - גן רותם,Gan Rotem Kindergarten,13,5305,206252.77002699999,749835.24129399995,0,,206252.77002699999,749835.24129399995
53941271,222,9500,קריית ביאליק,ישיבה - בית עמנואל,,13,5340,209004.84672700000,749510.86849400005,0,,209004.84672700000,749510.86849400005
53941273,222,9600,קריית ים,גן ילדים - צבעוני,Tsiv'oni Kindergarten,13,5305,206549.47502700001,749495.39539399999,0,,206549.47502700001,749495.39539399999
54007770,222,8000,צפת,גן ילדים,Kindergarten,13,5305,248579.80502699999,763319.03279400000,0,,248579.80502699999,763319.03279400000
53941431,222,8000,צפת,"בית ספר - לבנות אמי""ת",,13,5310,247138.15742700000,763489.30879399995,0,,247138.15742700000,763489.30879399995
53941436,222,9600,קריית ים,גן ילדים - גן ענבל,Gan Inbal Kindergarten,13,5305,207807.59772699999,750862.35019400006,0,,207807.59772699999,750862.35019400006
53941438,222,517,מזרעה,בית ספר,School,13,5310,209491.67562699999,765192.06519400002,0,,209491.67562699999,765192.06519400002
53942857,222,536,פקיעין (בוקייעה),בית ספר,School,13,5310,231136.58372699999,764352.35669399996,0,,231136.58372699999,764352.35669399996
53942858,222,536,פקיעין (בוקייעה),בית ספר,School,13,5310,231074.89602700001,764521.88699399994,0,,231074.89602700001,764521.88699399994
53942871,222,8900,טמרה,גן ילדים - אלבתסאמה,,13,5305,218234.93652700001,751303.30109399999,0,,218234.93652700001,751303.30109399999
53943009,222,4005,חספין,גן ילדים - אלונים,,13,5305,274642.85012700001,750240.59009399998,0,,274642.85012700001,750240.59009399998
54009103,222,1294,אור הגנוז,גן ילדים,Kindergarten,13,5305,242167.95122700001,767849.42219399998,0,,242167.95122700001,767849.42219399998
53943032,222,9600,קריית ים,גן ילדים - הפרדס,,13,5305,206753.29432700001,750260.08679400000,0,,206753.29432700001,750260.08679400000
54007579,222,322,בית הלל,גן ילדים,Kindergarten,13,5305,257019.79512699999,790318.96439400001,0,,257019.79512699999,790318.96439400001
53940619,222,319,עמיר,בית ספר,School,13,5330,258277.09062700000,786787.31209400005,0,,258277.09062700000,786787.31209400005
53940625,222,2800,קריית שמונה,גן ילדים - שקד,Shaked Kindergarten,13,5305,253582.18152700001,789611.26289400004,0,,253582.18152700001,789611.26289400004
53940497,222,319,עמיר,בית ספר,School,13,5330,258179.66062700000,786742.20329400001,0,,258179.66062700000,786742.20329400001
53941069,222,43,מטולה,גן ילדים - אלון,Allon Kindergarten,13,5305,254294.18752700000,798511.67429400003,0,,254294.18752700000,798511.67429400003
54007687,222,4000,חיפה,מעון חוסן,Hosen Day Care Center,13,5300,201161.74422699999,745296.82259400003,0,,201161.74422699999,745296.82259400003
53941077,222,4100,קצרין,גן ילדים - גן נועם,,13,5305,264934.43032699998,766426.30879399995,0,,264934.43032699998,766426.30879399995
53941669,222,812,שלומי,גן ילדים,Kindergarten,13,5305,214112.96362699999,775977.30379399995,0,,214112.96362699999,775977.30379399995
53941678,222,4000,חיפה,בית ספר - שערי תורה,,13,5312,200989.35902700000,745446.80459399999,0,,200989.35902700000,745446.80459399999
53941679,222,8800,שפרעם,גן ילדים,Kindergarten,13,5305,216341.97902699999,745043.25429399998,0,,216341.97902699999,745043.25429399998
53941684,222,812,שלומי,גן ילדים,Kindergarten,13,5305,213965.00002700000,775271.83889400004,0,,213965.00002700000,775271.83889400004
53941442,222,9500,קריית ביאליק,גן ילדים - סביון,Savyon Kindergarten,13,5305,208771.91552700000,748811.88409399998,0,,208771.91552700000,748811.88409399998
53941389,222,7500,סח'נין,גן ילדים,Kindergarten,13,5305,227871.85502700001,752057.80589399999,0,,227871.85502700001,752057.80589399999
53941397,222,9100,נהרייה,גן ילדים - דניאלה,,13,5305,209005.02192699999,766014.48019399995,0,,209005.02192699999,766014.48019399995
53941402,222,517,מזרעה,בית ספר,School,13,5310,209453.59402700001,765183.10349400004,0,,209453.59402700001,765183.10349400004
54007764,222,8000,צפת,"גן ילדים - חב""ד",Chabad Kindergarten,13,5305,248000.90032700001,765722.48279399995,0,,248000.90032700001,765722.48279399995
53941406,222,9100,נהרייה,גן ילדים - גן חרצית,Gan Hartsit Kindergarten,13,5305,208820.66272699999,765996.27479399997,0,,208820.66272699999,765996.27479399997
53942981,222,2034,חצור הגלילית,גן ילדים - איתמר,,13,5305,251322.90262700000,764770.92119400005,0,,251322.90262700000,764770.92119400005
53942983,222,368,בירייה,כולל - ביתיוסף,,13,5340,246978.83242699999,765079.88579400000,0,,246978.83242699999,765079.88579400000
54009095,222,8000,צפת,"גן ילדים - חב""ד אור חנה",,13,5305,247417.16172700000,763730.36899400002,0,,247417.16172700000,763730.36899400002
53942985,222,536,פקיעין (בוקייעה),בית ספר,School,13,5310,231108.26862700001,764351.53099400003,0,,231108.26862700001,764351.53099400003
53942988,222,517,מזרעה,בית ספר,School,13,5310,209381.63572699999,765198.63079400000,0,,209381.63572699999,765198.63079400000
54009096,222,517,מזרעה,בית ספר,School,13,5310,209416.70262699999,765182.39249400003,0,,209416.70262699999,765182.39249400003
53942989,222,1228,רקפת,גן ילדים,Kindergarten,13,5305,225073.24332700000,751258.30209400004,0,,225073.24332700000,751258.30209400004
53942992,222,9500,קריית ביאליק,גן ילדים - גן ורדה,,13,5305,208459.06072700000,749023.17149400001,0,,208459.06072700000,749023.17149400001
53943085,222,8200,קריית מוצקין,גן ילדים - גן יגאל אלון,,13,5305,208066.93892700001,749578.04479399999,0,,208066.93892700001,749578.04479399999
54009118,222,4000,חיפה,גן ילדים - גן הילה,,13,5305,206511.89102700001,748644.31139399996,0,,206511.89102700001,748644.31139399996
53943095,222,8200,קריית מוצקין,גן ילדים - גנון 2000,Gan on 2000 Kindergarten,13,5305,207709.12762700001,748344.13749400002,0,,207709.12762700001,748344.13749400002
53943099,222,7500,סח'נין,גן ילדים,Kindergarten,13,5305,228002.56272700001,751981.98139400000,0,,228002.56272700001,751981.98139400000
53940503,222,9100,נהרייה,מרכז מדיה,Media Center,13,5300,210256.14702700000,768351.80709400005,0,,210256.14702700000,768351.80709400005
53940513,222,2800,קריית שמונה,גן ילדים - מועדונית הפרחים,,13,5305,253386.30002699999,791635.25269400002,0,,253386.30002699999,791635.25269400002
53940516,222,319,עמיר,בית ספר,School,13,5330,258178.46242699999,786908.65309399995,0,,258178.46242699999,786908.65309399995
53940520,222,319,עמיר,בית ספר,School,13,5330,258171.57842700000,786939.29899399995,0,,258171.57842700000,786939.29899399995
53940529,222,1213,צבעון,גן ילדים,Kindergarten,13,5305,239324.60112700000,770125.69629400002,0,,239324.60112700000,770125.69629400002
53940530,222,9100,נהרייה,גן ילדים - גן שורשים,,13,5305,209851.55402700001,768205.46009399998,0,,209851.55402700001,768205.46009399998
54007562,222,812,שלומי,גן ילדים - ברוש,,13,5305,214924.51422700001,776054.98909399996,0,,214924.51422700001,776054.98909399996
53940531,222,76,כפר גלעדי,גן ילדים,Kindergarten,13,5305,253951.38622700001,794117.80679399997,0,,253951.38622700001,794117.80679399997
53940532,222,9100,נהרייה,גן ילדים - גן השלום,,13,5305,209505.27162700001,768984.63019399997,0,,209505.27162700001,768984.63019399997
53940539,222,2800,קריית שמונה,גן ילדים - גן סביון,Gan Savyon Kindergarten,13,5305,253191.34242700000,790572.46929399995,0,,253191.34242700000,790572.46929399995
54007565,222,812,שלומי,גן ילדים,Kindergarten,13,5305,213592.24022700000,774814.98989400000,0,,213592.24022700000,774814.98989400000
53940546,222,2800,קריית שמונה,גן ילדים,Kindergarten,13,5305,253349.97482700000,790561.92399399995,0,,253349.97482700000,790561.92399399995
53941688,222,4100,קצרין,"גן ילדים - גן חב""ד",Gan Chabad Kindergarten,13,5305,264882.05272699997,766143.59629400005,0,,264882.05272699997,766143.59629400005
53941699,222,4000,חיפה,גן ילדים - גן פיס,,13,5305,198070.91312700001,746532.32699400000,0,,198070.91312700001,746532.32699400000
54008801,222,6800,קריית אתא,גן ילדים - גן וילי,,13,5305,211015.64682699999,746355.55899399996,2014,2015-07,211015.64682699999,746355.55899399996
54008804,222,4000,חיפה,בית ספר - בית יעקב,,13,5312,199910.55062699999,745436.74429399997,0,,199910.55062699999,745436.74429399997
53941727,222,9100,נהרייה,גן ילדים - גן רותם,Gan Rotem Kindergarten,13,5305,209850.17982700001,767038.34399400000,0,,209850.17982700001,767038.34399400000
