UNIQ_ID,FCODE_TYPE,SETL_CODE,SETL_NAME,NAME,LATIN_NAME,USG_GROUP,USG_CODE,E_ORD,N_ORD,DATA_YEAR,PRDCT_VER,X,Y
51590923,256,2200,דימונה,חניה ציבורית ללא תשלום,Free Public Parking,51,6824,202611.84072700000,553525.14169399999,0,,202611.84072700000,553525.14169399999
51592125,256,0,,מגרש חניה,,51,6824,212834.34592699999,587827.27219399996,0,,212834.34592699999,587827.27219399996
51585399,256,1268,מיתר,מגרש חניה,,51,6824,194239.61302700001,581778.93719400000,0,,194239.61302700001,581778.93719400000
51587790,256,0,,מגרש חניה,,51,6824,209375.62732699999,603895.19789399998,0,,209375.62732699999,603895.19789399998
51588069,256,1031,שדרות,מגרש חניה,,51,6824,161645.70422700001,603665.70659399999,0,,161645.70422700001,603665.70659399999
51585826,256,0,,מגרש חניה,,51,6824,203250.32322699999,601796.15039400000,0,,203250.32322699999,601796.15039400000
61062367,256,1192,ערערה-בנגב,מגרש חניה,,51,6824,201842.34422699999,563389.03939399996,0,,201842.34422699999,563389.03939399996
51588163,256,0,,מגרש חניה,,51,6824,210789.15842699999,589074.26569399994,0,,210789.15842699999,589074.26569399994
51585364,256,1271,להבים,מגרש חניה,,51,6824,182469.49532700001,586844.64429400000,0,,182469.49532700001,586844.64429400000
51589806,256,1161,רהט,מגרש חניה,,51,6824,176681.07132700001,589677.34489399998,0,,176681.07132700001,589677.34489399998
51591647,256,0,,מגרש חניה,,51,6824,209513.89592700001,605096.28419399995,0,,209513.89592700001,605096.28419399995
51589627,256,67,אור הנר,מגרש חניה,,51,6824,162074.54012699999,607499.04659399996,0,,162074.54012699999,607499.04659399996
51587723,256,2200,דימונה,מגרש חניה ללא תשלום,Free of Charge Parking Yard,51,6824,202837.38962700000,553602.33699400001,0,,202837.38962700000,553602.33699400001
51587738,256,9000,באר שבע,מגרש חניה,,51,6824,177452.74312699999,575133.05139399995,0,,177452.74312699999,575133.05139399995
51585355,256,0,,מגרש חניה,,51,6824,211391.45012699999,604115.67699399998,0,,211391.45012699999,604115.67699399998
51588210,256,0,,מגרש חניה,,51,6824,204794.44452700001,607798.66029399994,0,,204794.44452700001,607798.66029399994
51590227,256,0,,מגרש חניה,,51,6824,152991.39532700001,603183.77329399996,0,,152991.39532700001,603183.77329399996
51592419,256,31,אופקים,מגרש חניה,,51,6824,163858.99632700000,580461.87479399994,0,,163858.99632700000,580461.87479399994
51589594,256,1271,להבים,מגרש חניה,,51,6824,181518.00872700001,586844.76979399996,0,,181518.00872700001,586844.76979399996
51590484,256,0,,מגרש חניה,,51,6824,151989.15752700000,604574.40949400002,0,,151989.15752700000,604574.40949400002
51587628,256,0,,מגרש חניה,,51,6824,209554.66782700000,605691.10029400000,0,,209554.66782700000,605691.10029400000
51586588,256,2200,דימונה,חניה ציבורית ללא תשלום,Free Public Parking,51,6824,202861.26472700000,553751.71649400005,0,,202861.26472700000,553751.71649400005
51586997,256,419,סעד,מגרש חניה,,51,6824,155749.49502700000,597753.98949399998,0,,155749.49502700000,597753.98949399998
51587730,256,1242,נתיב העשרה,מגרש חניה,,51,6824,156185.05702700000,608729.33539400005,0,,156185.05702700000,608729.33539400005
