UNIQ_ID,FCODE_TYPE,SETL_CODE,SETL_NAME,NAME,LATIN_NAME,USG_GROUP,USG_CODE,E_ORD,N_ORD,DATA_YEAR,PRDCT_VER,X,Y
54452836,252,9000,באר שבע,האוניברסיטה - הפתוחה באר שבע,,13,5380,179507.73532700000,572444.87839400000,0,,179507.73532700000,572444.87839400000
54450440,252,9000,באר שבע,בית ספר - בן גוריון,,13,5310,181916.21772700001,575383.59569400002,0,,181916.21772700001,575383.59569400002
54450456,252,9000,באר שבע,גן ילדים - גן המעפילים,,13,5305,181522.13072700001,573107.72539399995,0,,181522.13072700001,573107.72539399995
54448309,252,1031,שדרות,בית ספר - שקמים,,13,5310,161408.50682700000,603624.85759399994,0,,161408.50682700000,603624.85759399994
64763939,252,1031,שדרות,בית ספר - שקמים מעוז,,13,5310,161285.90862700000,604728.50399400003,0,,161285.90862700000,604728.50399400003
61240971,252,1054,תל שבע,גן ילדים שכונה 6,,13,5305,186326.67852700001,573332.70599399996,0,,186326.67852700001,573332.70599399996
54447717,252,2200,דימונה,"תיכון מ""מ חדש ע""ש א' ליהמן",A. Lehmann Tikhon Hadash State High School,13,5330,203343.70232700001,553165.39969400002,0,,203343.70232700001,553165.39969400002
54447940,252,2200,דימונה,חווה למדעי הסביבה והחקלאות,Farm for Environmental Science & Agriculture,13,5300,202746.26802700001,554040.59729399998,0,,202746.26802700001,554040.59729399998
54450955,252,2200,דימונה,גן ילדים - גן אחווה,,13,5305,203644.96582700001,552908.41089399997,2014,2015-07,203644.96582700001,552908.41089399997
54447045,252,31,אופקים,בית ספר - הגבעה למדעים ואמנויות,,13,5310,163599.31802700000,580476.61409399996,0,,163599.31802700000,580476.61409399996
61240981,252,1303,חורה,בית ספר - תיכון מקיף סלאם חדש,,13,5330,194950.78372700000,579269.85249399999,0,,194950.78372700000,579269.85249399999
54451275,252,1268,מיתר,"בית ספר - חט""ב מיתרים",,13,5320,194474.59742700000,581812.07599399996,0,,194474.59742700000,581812.07599399996
54447338,252,9000,באר שבע,"בית ספר - אמי""ת",,13,5337,181022.38652700000,573763.77719399997,0,,181022.38652700000,573763.77719399997
54449916,252,9000,באר שבע,גן ילדים - גן יהלום,,13,5305,178934.74562700000,574052.62219400005,0,,178934.74562700000,574052.62219400005
54451216,252,9000,באר שבע,ישיבת - באר שבע,,13,5340,179305.32302700001,572226.08099399996,0,,179305.32302700001,572226.08099399996
54451246,252,9000,באר שבע,בית ספר - גאולים,,13,5310,179265.32992700001,572168.21299399994,0,,179265.32992700001,572168.21299399994
54450724,252,9000,באר שבע,"בית ספר - מ""מ לאומניות אפיק",,13,5310,177838.19972700000,574495.43929400004,0,,177838.19972700000,574495.43929400004
61240979,252,1054,תל שבע,בית ספר - מקיף עמל א,,13,5330,187184.20242700001,572796.39459399995,0,,187184.20242700001,572796.39459399995
54447014,252,2200,דימונה,"ת""ת גני שלהבת",Ganne Shalhevet Talmud Tora School,13,5310,202681.15242699999,552386.00879400002,0,,202681.15242699999,552386.00879400002
54452641,252,2200,דימונה,"בית ספר יסודי ממ""ד בן עטר",,13,5312,203309.18522700001,553309.99589400005,0,,203309.18522700001,553309.99589400005
54452653,252,2200,דימונה,"בי""ס מ""מ עמי אסף",Ami Asaf State School,13,5310,202585.13892699999,552745.37859400001,2014,2015-07,202585.13892699999,552745.37859400001
54449946,252,2200,דימונה,"בי""ס מ""מ נווה",Nave State School,13,5310,203566.91812700001,553917.00999399996,0,,203566.91812700001,553917.00999399996
54451624,252,2200,דימונה,"בי""ס ניסוי אפיקים",Afikim Experimental  School,13,5310,203510.54162700000,552307.75969400001,0,,203510.54162700000,552307.75969400001
54451730,252,31,אופקים,בית ספר - עתיד אופקים,,13,5330,163224.83322700000,581010.96009399998,0,,163224.83322700000,581010.96009399998
61240946,252,1303,חורה,בית ספר - מקיף עתיד אלנור,,13,5310,193097.39852700001,579378.36349400005,0,,193097.39852700001,579378.36349400005
54449450,252,246,נתיבות,בית ספר - נווה יעקוב,,13,5310,161291.53722699999,592191.66279400000,0,,161291.53722699999,592191.66279400000
54448879,252,1031,שדרות,ישיבת - הסדר אפיקי דעת,,13,5340,161145.00722699999,603763.81419399998,0,,161145.00722699999,603763.81419399998
54446775,252,9000,באר שבע,"מקיף י""א ע""ש רבין",Rabin Makif Yod Alef,13,5330,177693.41142700001,574255.17049399996,0,,177693.41142700001,574255.17049399996
54446716,252,9000,באר שבע,בית ספר - משכן מאיר,,13,5312,180203.55102700001,574336.60799399996,0,,180203.55102700001,574336.60799399996
54447850,252,9000,באר שבע,"בית ספר - אור ע""ש זבולון המר",,13,5312,177545.90772700001,574082.74139400001,0,,177545.90772700001,574082.74139400001
54446514,252,1271,להבים,"בית ספר - מ""מ קהילתי להבים",,13,5310,182682.26902700000,586830.82429400005,0,,182682.26902700000,586830.82429400005
54449609,252,1031,שדרות,מכון למורים צעירים תלמוד תורה,,13,5370,162260.42592700000,604335.75269400002,0,,162260.42592700000,604335.75269400002
54450170,252,1268,מיתר,קונסרבטוריון - עירוני,,13,5370,194184.54262699999,581519.45929399994,0,,194184.54262699999,581519.45929399994
54446885,252,9000,באר שבע,"בית ספר - מקיף ע""ש רגר",,13,5330,177959.35192700001,571665.82569400000,0,,177959.35192700001,571665.82569400000
54448234,252,9000,באר שבע,"תל""ם תיכון של המכללה למינהל",,13,5330,181127.73062700001,573388.19429400004,0,,181127.73062700001,573388.19429400004
54449953,252,9000,באר שבע,גן ילדים - גן נעמת,,13,5305,181722.48262699999,573742.55399399996,0,,181722.48262699999,573742.55399399996
54450791,252,9000,באר שבע,בית ספר - טוביה,,13,5310,177205.17842700001,574695.40089399996,0,,177205.17842700001,574695.40089399996
54450864,252,9000,באר שבע,בית ספר - רימון,,13,5310,177386.89452700000,574009.72149400006,0,,177386.89452700000,574009.72149400006
54451339,252,1031,שדרות,בית ספר - שיקמים,,13,5310,160897.06712699999,604293.33159399999,0,,160897.06712699999,604293.33159399999
54446895,252,246,נתיבות,בית ספר - נועם אורות,,13,5310,160351.02482699999,591845.88839400001,0,,160351.02482699999,591845.88839400001
54449257,252,246,נתיבות,בית ספר - נראה אור,,13,5312,161626.16262700001,593104.54539400002,0,,161626.16262700001,593104.54539400002
54451875,252,246,נתיבות,בית ספר - נתיב יצחק,,13,5310,161558.68892700001,592640.33389400004,0,,161558.68892700001,592640.33389400004
54452022,252,246,נתיבות,בית ספר - לבנים הצבי,,13,5332,161414.79692699999,593146.64479399996,0,,161414.79692699999,593146.64479399996
54449515,252,2200,דימונה,"בי""ס חינוך מיוחד מ""מ צבר",Tsabbar Special Education State School,13,5300,202350.88732700000,553844.97119399998,0,,202350.88732700000,553844.97119399998
54450865,252,2200,דימונה,וה,,13,5310,203698.97852700000,552956.57269399997,2014,2015-07,203698.97852700000,552956.57269399997
61240974,252,1358,אום בטין,גני ילדים,Kindergartens Kindergarten,13,5305,188686.79652700000,576398.87189399998,0,,188686.79652700000,576398.87189399998
54452492,252,246,נתיבות,בית ספר - פיס,,13,5310,160527.27922699999,593058.37469400000,0,,160527.27922699999,593058.37469400000
64763963,252,1031,שדרות,בית ספר - נווה מרגלית,,13,5332,161348.85552700001,604788.62579399999,0,,161348.85552700001,604788.62579399999
54452152,252,1268,מיתר,בית ספר - עמית,,13,5310,194296.01672700001,581562.46639399999,0,,194296.01672700001,581562.46639399999
54452264,252,9000,באר שבע,בית ספר - בארי,,13,5310,179795.28292699999,572549.54659399996,0,,179795.28292699999,572549.54659399996
54452951,252,9000,באר שבע,ישיבה - עין יצחק,,13,5340,179530.92102700000,575091.84249399998,0,,179530.92102700000,575091.84249399998
54451904,252,9000,באר שבע,"מכללת - עמל ע""ש ליידי דיוויס",,13,5370,180157.68862700000,573476.62919400004,0,,180157.68862700000,573476.62919400004
54451920,252,9000,באר שבע,בית ספר - מצפה,,13,5310,179850.33742699999,574718.18869400001,0,,179850.33742699999,574718.18869400001
54449796,252,1080,מבועים,בית ספר - מבועים,,13,5310,167376.29992699999,595111.07079400006,0,,167376.29992699999,595111.07079400006
54449818,252,1031,שדרות,בית ספר - התורה,,13,5310,160680.48112700001,604895.84089400002,0,,160680.48112700001,604895.84089400002
64763947,252,419,סעד,בית ספר,School,13,5312,155725.75912700000,597428.07799400005,0,,155725.75912700000,597428.07799400005
54447264,252,2200,דימונה,"בית ספר יסודי מ""מ - יצחק שדה",,13,5310,202562.32102700000,553727.65669400000,2014,2015-07,202562.32102700000,553727.65669400000
54448110,252,2200,דימונה,"תיכון מקצועי מ""מ מפתן דימונה",MiFTaN Dimona Vocational State High School,13,5330,203176.89752699999,552158.67979400000,2014,2015-07,203176.89752699999,552158.67979400000
54449801,252,2200,דימונה,"בי""ס מ""מ דקלים",Dkalim State School,13,5310,203477.51782700000,553509.67289399996,0,,203477.51782700000,553509.67289399996
54450831,252,2200,דימונה,"בי""ס מ""מ מנחם בגין",Menachem Begin State School,13,5310,203886.73062700001,553625.87169399997,0,,203886.73062700001,553625.87169399997
61240932,252,1303,חורה,בית ספר - יסודי אלזהראא,,13,5310,192872.31612700000,579232.83059400006,0,,192872.31612700000,579232.83059400006
61240969,252,0,,בית ספר - אל הוזייל,,13,5310,176408.08302699999,590711.22539399995,0,,176408.08302699999,590711.22539399995
61078792,252,1360,מולדה,בית ספר - נווה דקלים,,13,5310,195957.77262700000,573875.52749400004,0,,195957.77262700000,573875.52749400004
54446477,252,31,אופקים,בית ספר - איילת השחר,,13,5337,163832.71602699999,579321.99929399998,0,,163832.71602699999,579321.99929399998
54452724,252,31,אופקים,בית ספר - הדסים,,13,5310,164436.88062700001,579516.52209400001,0,,164436.88062700001,579516.52209400001
54452242,252,31,אופקים,ישיבת - בני עקיבא,,13,5340,163665.71112699999,580107.96209399996,0,,163665.71112699999,580107.96209399996
54450674,252,31,אופקים,"בית ספר - חב""ד בנות אופקים",,13,5312,163454.37132700000,580493.39439399994,0,,163454.37132700000,580493.39439399994
61241005,252,1303,חורה,בית ספר - יסודי אלעטאונה,,13,5310,193555.98832700000,578859.03329399996,0,,193555.98832700000,578859.03329399996
54447256,252,1031,שדרות,"בית ספר - אמי""ת",,13,5332,161077.17712700000,603395.38299399999,0,,161077.17712700000,603395.38299399999
61240955,252,1054,תל שבע,גן ילדים שכונה 11,,13,5305,187076.01302700001,573913.20929399994,0,,187076.01302700001,573913.20929399994
61240942,252,0,,בית ספר יסודי - אלעזאזמה ג,,13,5310,186274.86862699999,562842.45269399998,0,,186274.86862699999,562842.45269399998
61240964,252,1303,חורה,בית ספר - אלופא,,13,5310,192824.16222699999,578165.72279399994,0,,192824.16222699999,578165.72279399994
61240961,252,1059,כסיפה,פנימיה - סלאם בנגב,,13,5338,208166.92102700000,572576.17999400001,0,,208166.92102700000,572576.17999400001
54448083,252,9000,באר שבע,מכללת - רדיו דרום,,13,5370,181442.46812700000,574184.88079400000,0,,181442.46812700000,574184.88079400000
54451462,252,1031,שדרות,"בית ספר - אמי""ת תורני מדעי",,13,5312,160902.40812700000,603967.94349400001,2014,2015-07,160902.40812700000,603967.94349400001
61240938,252,1358,אום בטין,בית ספר אום בטין,,13,5310,189083.44772699999,576182.62449399999,0,,189083.44772699999,576182.62449399999
54446934,252,9000,באר שבע,בית ספר - אוריין,,13,5310,178546.80072699999,573770.27219399996,0,,178546.80072699999,573770.27219399996
54446980,252,9000,באר שבע,"בית ספר - מ""מ קהילתי גולדה מאיר",,13,5310,178432.61832700000,574744.13029400003,0,,178432.61832700000,574744.13029400003
54448762,252,9000,באר שבע,מרכז הברכה סמינר מורים,"""Merkaz HaBrakha"" Teachers Seminary",13,5370,180890.21532700001,573747.09129400004,0,,180890.21532700001,573747.09129400004
54449884,252,9000,באר שבע,גן ילדים - גן צוציקים,,13,5305,177469.21232699999,574913.69729399995,0,,177469.21232699999,574913.69729399995
54449859,252,9000,באר שבע,ישיבה - מוסדות המעין בנגב,,13,5340,179543.15242699999,572213.13659400004,0,,179543.15242699999,572213.13659400004
54450783,252,9000,באר שבע,גן ילדים - גן דליה,Gan Dalya Kindergarten,13,5305,178247.43562700000,575473.62909399997,0,,178247.43562700000,575473.62909399997
54452084,252,9000,באר שבע,בית ספר - קורצק,,13,5310,178990.95812699999,573538.18799400004,0,,178990.95812699999,573538.18799400004
